Timestamp,What is your role?,What is your age group?,How frequently do you use online food ordering apps?,How easy is it to navigate food ordering apps?,How long does it typically take you to complete a food order?,Are the steps to place an order clear and easy to follow?,Have you experienced technical errors while using food ordering apps?,What types of errors have you experienced? (Select all that apply),Does the app require you to remember a lot of information?,What information do you need to remember? (Select all that apply),How stressful do you find using food ordering apps?,How satisfied are you with your overall experience?,Do technical issues or navigation confusion increase your anxiety?,Which improvements would help most? (Select all that apply)
2026/01/10 9:02:15 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart",Yes,"Promo Code, Coupon Expiry, Login Password",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 9:04:32 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed",Yes,"Promo Code, Cart Contents, Saved Address",Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 9:06:47 AM,Student,23-26,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading, App Crash",Yes,"Login Password, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages, Consistent UI Design"
2026/01/10 9:08:22 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Items Disappear from Cart, Slow Loading",Yes,"Promo Code, Coupon Expiry, Saved Address, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters"
2026/01/10 9:10:05 AM,Working Professional,23-26,Weekly,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed",Yes,"Promo Code, Login Password, Cart Contents",Stressful,Dissatisfied,Yes,"Simplified Checkout, Consistent UI Design"
2026/01/10 9:12:33 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"App Crash, Slow Loading",Yes,"Promo Code, Coupon Expiry",Stressful,Very Dissatisfied,Yes,"Clearer Error Messages, Better Search Filters, Simplified Checkout"
2026/01/10 9:14:51 AM,Student,18-22,Monthly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading",Yes,"Login Password, Saved Address",Neutral,Neutral,No,"Better Search Filters"
2026/01/10 9:16:29 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Items Disappear from Cart, Payment Failed",Yes,"Cart Contents, Promo Code, Coupon Expiry",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 9:18:44 AM,Student,18-22,Daily,Difficult,Failed to complete,Not Clear,Yes,"Slow Loading, App Crash, Payment Failed",Yes,"Promo Code, Login Password, Coupon Expiry, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Better Search Filters, Clearer Error Messages, Consistent UI Design"
2026/01/10 9:20:17 AM,Student,18-22,Weekly,Easy,2-5 min,Yes Completely Clear,No,,No,,Comfortable,Satisfied,No,"Better Search Filters"
2026/01/10 9:22:38 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart",Yes,"Promo Code, Saved Address, Cart Contents",Stressful,Dissatisfied,Yes,"Simplified Checkout, Consistent UI Design"
2026/01/10 9:24:52 AM,Student,18-22,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"App Crash",Yes,"Login Password, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages"
2026/01/10 9:26:11 AM,Faculty,31+,Monthly,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Slow Loading",Yes,"Login Password, Saved Address, Promo Code",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Consistent UI Design"
2026/01/10 9:28:34 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart, App Crash",Yes,"Promo Code, Coupon Expiry, Cart Contents, Saved Address",Stressful,Very Dissatisfied,Yes,"All options"
2026/01/10 9:30:02 AM,Student,23-26,Weekly,Easy,2-5 min,Yes Completely Clear,Yes,"Slow Loading",No,,Comfortable,Satisfied,No,"Better Search Filters"
2026/01/10 9:32:19 AM,Student,18-22,Daily,Difficult,Failed to complete,Not Clear,Yes,"Slow Loading, Payment Failed, App Crash",Yes,"Promo Code, Coupon Expiry, Login Password, Saved Address",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters"
2026/01/10 9:34:47 AM,Student,27-30,Daily,Difficult,5-10 min,Not Clear,Yes,"Items Disappear from Cart, Slow Loading",Yes,"Cart Contents, Promo Code",Stressful,Dissatisfied,Yes,"Simplified Checkout, Consistent UI Design"
2026/01/10 9:36:05 AM,Student,18-22,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading",Yes,"Promo Code, Login Password",Neutral,Neutral,Yes,"Better Search Filters, Clearer Error Messages"
2026/01/10 9:38:28 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Items Disappear from Cart",Yes,"Promo Code, Coupon Expiry, Saved Address",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 9:40:53 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, App Crash",Yes,"Promo Code, Login Password, Cart Contents",Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 9:42:11 AM,Student,18-22,Monthly,Easy,<2 min,Yes Completely Clear,No,,No,,Comfortable,Very Satisfied,No,
2026/01/10 9:44:35 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart, Payment Failed",Yes,"Promo Code, Coupon Expiry, Cart Contents, Login Password",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters, Consistent UI Design"
2026/01/10 9:46:49 AM,Student,27-30,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"App Crash, Slow Loading",Yes,"Saved Address, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages, Consistent UI Design"
2026/01/10 9:48:07 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Slow Loading",Yes,"Promo Code, Login Password, Coupon Expiry",Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 9:50:22 AM,Student,18-22,Daily,Difficult,Failed to complete,Not Clear,Yes,"Slow Loading, App Crash, Items Disappear from Cart",Yes,"Promo Code, Coupon Expiry, Cart Contents, Saved Address, Login Password",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters"
2026/01/10 9:52:40 AM,Student,18-22,Weekly,Easy,2-5 min,Yes Completely Clear,Yes,"Slow Loading",No,,Neutral,Satisfied,No,"Better Search Filters"
2026/01/10 9:54:58 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Items Disappear from Cart, Payment Failed, Slow Loading",Yes,"Promo Code, Cart Contents, Saved Address"],Stressful,Dissatisfied,Yes,"Simplified Checkout, Consistent UI Design"
2026/01/10 9:56:15 AM,Working Professional,27-30,Weekly,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed"],Yes,"Promo Code, Login Password, Coupon Expiry",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Consistent UI Design"
2026/01/10 9:58:33 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, App Crash",Yes,"Promo Code, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 10:00:47 AM,Student,18-22,Monthly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading",Yes,"Login Password, Promo Code"],Neutral,Neutral,Yes,"Clearer Error Messages"
2026/01/10 10:02:05 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Items Disappear from Cart",Yes,"Promo Code, Coupon Expiry, Saved Address, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters"
2026/01/10 10:04:22 AM,Student,18-22,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading",Yes,"Promo Code, Login Password",Neutral,Neutral,No,"Better Search Filters, Consistent UI Design"
2026/01/10 10:06:39 AM,Student,27-30,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, App Crash, Items Disappear from Cart",Yes,"Promo Code, Cart Contents, Coupon Expiry, Login Password",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 10:08:57 AM,Student,18-22,Daily,Difficult,Failed to complete,Not Clear,Yes,"Payment Failed, Slow Loading, App Crash"],Yes,"Promo Code, Coupon Expiry, Saved Address, Cart Contents, Login Password",Stressful,Very Dissatisfied,Yes,"All options"
2026/01/10 10:10:14 AM,Student,18-22,Weekly,Easy,<2 min,Yes Completely Clear,No,,No,,Comfortable,Satisfied,No,
2026/01/10 10:12:31 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart",Yes,"Promo Code, Login Password, Cart Contents",Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters, Consistent UI Design"
2026/01/10 10:14:49 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Payment Failed, Slow Loading"],Yes,"Promo Code, Coupon Expiry, Cart Contents",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages"
2026/01/10 10:16:07 AM,Student,18-22,Monthly,Neutral,2-5 min,Somewhat Clear,Yes,"App Crash"],Yes,"Login Password, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages, Better Search Filters"
2026/01/10 10:18:24 AM,Student,23-26,Weekly,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Items Disappear from Cart"],Yes,"Promo Code, Saved Address, Coupon Expiry",Stressful,Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Consistent UI Design"
2026/01/10 10:20:42 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed, App Crash, Items Disappear from Cart"],Yes,"Promo Code, Coupon Expiry, Login Password, Cart Contents, Saved Address",Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Better Search Filters, Consistent UI Design"
2026/01/10 10:22:58 AM,Student,31+,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading"],Yes,"Login Password, Promo Code",Neutral,Neutral,Yes,"Clearer Error Messages"
2026/01/10 10:24:15 AM,Student,18-22,Daily,Difficult,5-10 min,Not Clear,Yes,"Items Disappear from Cart, Payment Failed"],Yes,"Promo Code, Coupon Expiry, Cart Contents"],Stressful,Dissatisfied,Yes,"Simplified Checkout, Better Search Filters"
2026/01/10 10:26:33 AM,Student,27-30,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, App Crash"],Yes,"Promo Code, Login Password, Saved Address"],Stressful,Very Dissatisfied,Yes,"Simplified Checkout, Clearer Error Messages, Consistent UI Design"
2026/01/10 10:28:51 AM,Student,18-22,Monthly,Easy,<2 min,Yes Completely Clear,No,,No,,Comfortable,Satisfied,No,"Better Search Filters"
2026/01/10 10:30:08 AM,Student,23-26,Daily,Difficult,5-10 min,Not Clear,Yes,"Slow Loading, Payment Failed, Items Disappear from Cart"],Yes,"Promo Code, Coupon Expiry, Cart Contents, Login Password"],Stressful,Very Dissatisfied,Yes,"All options"
2026/01/10 10:32:26 AM,Student,18-22,Weekly,Neutral,2-5 min,Somewhat Clear,Yes,"Slow Loading"],Yes,"Promo Code, Login Password"],Neutral,Neutral,No,"Better Search Filters, Clearer Error Messages"
